Compactness,SurfaceArea,WallArea,RoofArea,Orientation,GlazingArea,GlazingDist,HeatLoad
0.76,661.5,416.5,122.5,5,0.1,3,33.24
0.79,637.0,343.0,147.0,4,0.1,1,36.9
0.82,612.5,318.5,147.0,4,0.4,3,29.47
0.86,588.0,294.0,147.0,4,0.4,2,32.13
0.98,514.5,294.0,110.25,2,0.25,3,28.67
0.9,563.5,318.5,122.5,3,0.1,2,29.68
0.79,637.0,343.0,147.0,3,0.25,5,39.83
0.82,612.5,318.5,147.0,3,0.1,3,23.84
0.98,514.5,294.0,110.25,2,0.25,4,28.7
0.9,563.5,318.5,122.5,5,0.1,4,29.79
0.79,637.0,343.0,147.0,4,0.25,1,39.86
0.76,661.5,416.5,122.5,4,0.25,3,35.64
0.82,612.5,318.5,147.0,5,0.4,1,28.65
0.76,661.5,416.5,122.5,3,0.25,2,36.28
0.98,514.5,294.0,110.25,4,0.4,3,32.23
0.82,612.5,318.5,147.0,4,0.1,3,24.17
0.98,514.5,294.0,110.25,2,0.0,0,15.55
0.82,612.5,318.5,147.0,5,0.1,1,22.58
0.82,612.5,318.5,147.0,3,0.25,5,25.17
0.76,661.5,416.5,122.5,5,0.4,3,39.68
0.76,661.5,416.5,122.5,5,0.25,1,36.43
0.86,588.0,294.0,147.0,3,0.1,2,27.02
0.86,588.0,294.0,147.0,3,0.0,0,19.95
0.86,588.0,294.0,147.0,2,0.25,1,29.54
0.79,637.0,343.0,147.0,3,0.1,1,37.12
0.79,637.0,343.0,147.0,5,0.4,1,41.67
0.82,612.5,318.5,147.0,5,0.0,0,15.98
0.79,637.0,343.0,147.0,4,0.25,5,39.01
0.98,514.5,294.0,110.25,3,0.1,5,24.33
0.76,661.5,416.5,122.5,3,0.1,5,33.21
0.82,612.5,318.5,147.0,2,0.1,1,23.53
0.82,612.5,318.5,147.0,3,0.25,3,25.48
0.86,588.0,294.0,147.0,4,0.25,1,29.6
0.9,563.5,318.5,122.5,3,0.4,2,36.57
0.76,661.5,416.5,122.5,3,0.25,4,36.45
0.86,588.0,294.0,147.0,3,0.25,2,29.87
