Compactness,SurfaceArea,WallArea,RoofArea,Orientation,GlazingArea,GlazingDist,CoolLoad
0.74,686.0,245.0,220.5,5,0.1,2,13.79
0.71,710.5,269.5,220.5,3,0.4,5,14.58
0.74,686.0,245.0,220.5,2,0.0,0,10.9
0.66,759.5,318.5,220.5,4,0.0,0,12.4
0.69,735.0,294.0,220.5,3,0.4,2,17.01
0.74,686.0,245.0,220.5,3,0.4,3,15.39
0.71,710.5,269.5,220.5,2,0.4,3,16.11
0.74,686.0,245.0,220.5,2,0.25,4,14.92
0.64,784.0,343.0,220.5,2,0.0,0,16.78
0.64,784.0,343.0,220.5,2,0.1,2,19.23
0.69,735.0,294.0,220.5,5,0.1,1,14.45
0.71,710.5,269.5,220.5,2,0.4,4,16.85
0.69,735.0,294.0,220.5,4,0.1,5,14.46
0.62,808.5,367.5,220.5,5,0.0,0,12.04
0.62,808.5,367.5,220.5,3,0.1,4,14.34
0.64,784.0,343.0,220.5,3,0.25,2,20.56
0.69,735.0,294.0,220.5,3,0.1,1,14.61
